delta,pairs,nt_80,max_gap
0.05,9,60,0.29131097560975616
0.1,6,20,0.29131097560975616
0.15,5,20,0.29131097560975616
0.2,2,10,0.29131097560975616
0.25,2,10,0.29131097560975616
