model,mean,cluster_lo,cluster_hi
deepseek_coder_v2_lite,0.6984756097560977,0.632157012195122,0.7621951219512195
llama31_8b,0.5660060975609755,0.5007469512195122,0.6301981707317073
qwen25_coder_14b,0.8573170731707317,0.8091463414634146,0.9079420731707317
qwen25_coder_32b,0.8486280487804879,0.7949618902439024,0.8972827743902437
qwen25_coder_7b,0.7640243902439023,0.7053315548780488,0.8224199695121951
