model,mean,cluster_lo,cluster_hi
deepseek_coder_v2_lite,0.6984756097560977,0.6355068597560976,0.7611280487804878
llama31_8b,0.5660060975609755,0.5004344512195121,0.6350990853658537
qwen25_coder_14b,0.8573170731707317,0.8095846036585367,0.9018407012195122
qwen25_coder_32b,0.8486280487804879,0.7941996951219512,0.8948208841463414
qwen25_coder_7b,0.7640243902439023,0.7062461890243903,0.8199809451219513
qwen3_32b,0.20807926829268292,0.15670731707317073,0.2635670731707317
